interval,extra_slippage_usd_per_side,D_historical_compounded_pnl_inr,D_recent_terminal_equity_pnl_inr,H_historical_compounded_pnl_inr,H_recent_terminal_equity_pnl_inr,J_historical_compounded_pnl_inr,J_recent_terminal_equity_pnl_inr
500ms,0.0,1430.311133793068,-223.27329174700338,1287.0890835318237,-208.4689762103303,1048.8642271072138,-164.53993148659703
500ms,0.05,1164.8109181225905,-228.5917885979548,1063.7079344681954,-214.0606050534518,870.1567521453233,-165.20148529795853
500ms,0.1,964.1613580745292,-232.58559413921654,875.1940743033928,-219.15014645031755,711.818722422152,-174.34796238967965
500ms,0.2,335.0871578930338,-240.88778913584088,287.88770606255974,-229.17428569149047,284.44856177278575,-183.70308458285302
1s,0.0,385.2544619534224,-135.9095261798986,360.79357527974355,-128.62645713776266,273.17886565255975,-70.99924105736795
1s,0.05,281.9016479168638,-140.26333968522584,274.43278309175156,-133.06171619388073,160.35025745747734,-74.55890830149536
1s,0.1,248.12032921993654,-143.91095503479,240.97302084265993,-138.60265758541567,131.7688520325009,-79.5013845247866
1s,0.2,35.88449127824222,-155.80934360412596,27.98417774859041,-151.1297441729143,-28.420016170553343,-96.07242028383484
