interval,extra_slippage_usd_per_side,historical_candidate_d_compounded_pnl_inr,historical_candidate_e_compounded_pnl_inr,historical_delta_e_vs_d_inr,recent_candidate_d_terminal_equity_pnl_inr,recent_candidate_e_terminal_equity_pnl_inr,recent_delta_e_vs_d_inr
500ms,0.0,1430.311133793068,1163.4742797984384,-266.83685399462956,-223.27329174700338,-216.77202956544954,6.501262181553841
500ms,0.05,1164.8109181225905,891.7022929273029,-273.1086251952876,-228.5917885979548,-222.0665013723064,6.5252872256484125
500ms,0.1,964.1613580745292,724.0275598679988,-240.1337982065304,-232.58559413921654,-226.6776568938448,5.907937245371727
500ms,0.2,335.0871578930338,88.10477080926249,-246.9823870837713,-240.88778913584088,-234.34651928800406,6.541269847836816
1s,0.0,385.2544619534224,374.5829584056339,-10.671503547788461,-135.9095261798986,-94.0843967801876,41.82512939971099
1s,0.05,281.9016479168638,195.95473395554308,-85.94691396132072,-140.26333968522584,-98.73514395355778,41.52819573166806
1s,0.1,248.12032921993654,167.31202557990233,-80.80830364003421,-143.91095503479,-103.15854098756915,40.75241404722084
1s,0.2,35.88449127824222,2.5984846359631275,-33.2860066422791,-155.80934360412596,-116.19657575079378,39.61276785333217
