context,sample_index,entry_ts,side,raw_count2,raw_count10,event_rate_accel_2_10,median_iat2_ms,median_iat10_ms,iat_ratio_2_10,mid_move2,mid_move10,dir_mid_move2,dir_mid_move10,event_eff2,event_eff10,event_imb2,event_imb10,dir_event_imb2,dir_event_imb10,dir_imbalance_delta_2_10,quote_sidedness2,two_sided_update_frac2,spread_rel10,spread_change_rel2,spread_compression10,dir_range_position10
historical7d:500ms:segment0,30551,1789586926.748,SELL,23.0,76.0,1.5131578947368423,50.50003528594971,92.00000762939453,0.548913381500793,0.23000000000047294,0.11499999999978172,-0.23000000000047294,-0.11499999999978172,0.3108108108119236,0.04070796460170837,0.2727272727272727,0.06666666666666667,-0.2727272727272727,-0.06666666666666667,-0.20606060606060606,0.3181818181818182,0.4090909090909091,0.7272727272722261,-0.30303030303147227,0.636363636366643,-0.25301204819393286
historical7d:500ms:segment0,45336,1789595292.485,SELL,37.0,174.0,1.0632183908045978,52.00004577636719,50.99987983703613,1.0196111430561594,0.3400000000001455,-1.8450000000002547,-0.3400000000001455,1.8450000000002547,0.1359999999998603,0.1560253699788343,0.05555555555555555,-0.1411764705882353,-0.05555555555555555,0.1411764705882353,-0.19673202614379084,0.08333333333333333,0.75,0.707317073170894,-0.48780487805072825,1.243902439023146,0.7084112149536269
historical7d:500ms:segment0,64180,1789616035.973,BUY,11.0,60.0,0.9166666666666666,51.49996280670166,51.000118255615234,1.0098008508251133,-0.125,0.4600000000000364,-0.125,0.4600000000000364,0.4098360655733794,0.1900826446283228,-0.1111111111111111,-0.06896551724137931,-0.1111111111111111,-0.06896551724137931,-0.042145593869731796,-0.5,0.5,0.7777777777777778,-0.41666666666856145,0.4722222222228538,0.3939393939398115
historical7d:500ms:segment0,72977,1789621006.3980002,SELL,16.0,85.0,0.9411764705882353,144.00005340576172,77.49998569488525,1.8580655482013237,0.6850000000013097,1.0450000000000728,-0.6850000000013097,-1.0450000000000728,0.6815920398016073,0.18253275109187816,0.4666666666666667,0.07142857142857142,-0.4666666666666667,-0.07142857142857142,-0.3952380952380953,0.26666666666666666,0.4666666666666667,0.4423076923090041,-0.44230769230725503,0.7115384615371497,-0.945525291829014
historical7d:500ms:segment0,93437,1789635294.824,BUY,17.0,55.0,1.5454545454545454,50.00019073486328,98.49989414215088,0.507616695127663,-0.06999999999970896,-0.3999999999996362,-0.06999999999970896,-0.3999999999996362,0.08749999999931787,0.19138755980775876,-0.3333333333333333,-0.19230769230769232,-0.3333333333333333,-0.19230769230769232,-0.141025641025641,0.0,0.5,1.0,-0.6666666666632982,0.6666666666632982,-0.89655172413566
historical7d:500ms:segment0,93438,1789635295.477,BUY,20.0,57.0,1.7543859649122806,50.99987983703613,99.00009632110596,0.5151498001741176,-0.024999999999636202,-0.4650000000001455,-0.024999999999636202,-0.4650000000001455,0.03067484662523286,0.22195704057196763,-0.3333333333333333,-0.25925925925925924,-0.3333333333333333,-0.25925925925925924,-0.07407407407407407,-0.05263157894736842,0.5263157894736842,1.0000000000033684,-0.25925925925526694,0.6666666666655439,-0.8983050847464943
historical7d:500ms:segment0,139144,1789661749.9420002,BUY,29.0,143.0,1.013986013986014,50.999999046325684,50.999999046325684,1.0,-0.9349999999994907,0.44500000000061846,-0.9349999999994907,0.44500000000061846,0.6012861736337038,0.06108442004119799,-0.21428571428571427,-0.05714285714285714,-0.21428571428571427,-0.05714285714285714,-0.15714285714285714,-0.42857142857142855,0.35714285714285715,0.7777777777777778,-0.41666666666856145,0.5000000000012632,-0.2651757188491496
historical7d:500ms:segment0,139147,1789661751.3430002,BUY,25.0,137.0,0.9124087591240876,51.000118255615234,51.000118255615234,1.0,-0.3100000000004002,-0.13000000000101863,-0.3100000000004002,-0.13000000000101863,0.2520325203254317,0.01867816091965964,-0.25,-0.11940298507462686,-0.25,-0.11940298507462686,-0.13059701492537312,-0.3333333333333333,0.4166666666666667,0.8055555555561872,-0.1111111111111111,0.4722222222228538,-0.7589285714283539
historical7d:500ms:segment0,156117,1789670449.961,BUY,15.0,62.0,1.2096774193548387,75.5000114440918,99.00021553039551,0.7626247179321689,-0.010000000000218279,0.22999999999956344,-0.010000000000218279,0.22999999999956344,0.011111111111358134,0.10222222222219347,-0.14285714285714285,0.06666666666666667,-0.14285714285714285,0.06666666666666667,-0.2095238095238095,0.14285714285714285,0.5714285714285714,0.954545454544515,-0.09090909091097003,0.590909090908903,0.4206896551718773
historical7d:500ms:segment0,156118,1789670450.3630002,BUY,19.0,66.0,1.4393939393939394,51.50008201599121,98.00004959106445,0.5255107750546173,-0.15499999999974534,0.09500000000025466,-0.15499999999974534,0.09500000000025466,0.1497584541061868,0.039665970772617,-0.3333333333333333,0.0,-0.3333333333333333,0.0,-0.3333333333333333,0.2222222222222222,0.5555555555555556,1.136363636362321,0.227272727273291,0.409090909091097,0.062068965516133945
historical7d:500ms:segment0,161725,1789673571.864,SELL,4.0,69.0,0.2898550724637681,52.00028419494629,58.00008773803711,0.8965552678094298,0.024999999999636202,-0.6149999999997817,-0.024999999999636202,0.6149999999997817,0.384615384606774,0.22323049001798706,0.3333333333333333,-0.13432835820895522,-0.3333333333333333,0.13432835820895522,-0.46766169154228854,-0.3333333333333333,0.6666666666666666,0.9166666666685614,0.04166666666761406,1.0,0.3666666666667341
historical7d:500ms:segment0,191461,1789702326.9910002,BUY,9.0,48.0,0.9375,126.50001049041748,98.00028800964355,1.2908126400400932,-0.10999999999876309,-0.25,-0.10999999999876309,-0.25,0.2291666666642982,0.09727626459151956,-0.25,-0.043478260869565216,-0.25,-0.043478260869565216,-0.20652173913043478,-0.25,0.75,0.6444444444446241,-0.3111111111099434,0.48888888888965243,-0.904761904759705
historical7d:500ms:segment0,209507,1789713750.544,BUY,9.0,35.0,1.2857142857142858,101.99999809265137,125.49996376037598,0.8127492234771128,-0.09999999999854481,-0.1749999999992724,-0.09999999999854481,-0.1749999999992724,0.6249999999914735,0.12195121951157678,-0.5,-0.11764705882352941,-0.5,-0.11764705882352941,-0.38235294117647056,-0.25,0.0,0.8285714285704634,-0.28571428571502816,0.4857142857139887,-1.0
historical7d:500ms:segment0,242948,1789735360.477,SELL,16.0,56.0,1.4285714285714286,51.000118255615234,53.00021171569824,0.9622625382930198,0.11000000000058208,-0.8949999999995271,-0.11000000000058208,0.8949999999995271,0.22916666666808774,0.35445544554429054,0.06666666666666667,-0.09433962264150944,-0.06666666666666667,0.09433962264150944,-0.16100628930817612,-0.3333333333333333,0.5333333333333333,0.8928571428579549,-0.14285714285714285,0.750000000000812,0.7904761904751181
historical7d:500ms:segment1,269528,1789750451.994,SELL,28.0,137.0,1.0218978102189782,51.999807357788086,51.000118255615234,1.0196017016502268,0.005000000000109139,-0.464999999999236,-0.005000000000109139,0.464999999999236,0.002583979328218814,0.05558876270164958,0.037037037037037035,-0.14074074074074075,-0.037037037037037035,0.14074074074074075,-0.17777777777777778,0.037037037037037035,0.8148148148148148,0.7222222222234854,-0.13888888888952047,0.722222222220959,0.795121951219404
historical7d:500ms:segment1,272716,1789752079.999,SELL,29.0,112.0,1.2946428571428572,50.999999046325684,51.999807357788086,0.9807728458572326,0.23000000000047294,0.5050000000001091,-0.23000000000047294,-0.5050000000001091,0.2948717948724975,0.11840562719829227,0.15384615384615385,-0.018518518518518517,-0.15384615384615385,0.018518518518518517,-0.17236467236467237,-0.07142857142857142,0.5,0.8125000000014211,-0.18750000000142109,0.8437499999992895,-0.651006711409478
historical7d:500ms:segment1,284965,1789758584.742,BUY,25.0,83.0,1.506024096385542,50.00007152557373,51.49996280670166,0.9708758764203855,-0.039999999999054126,0.3100000000004002,-0.039999999999054126,0.3100000000004002,0.03305785123886187,0.08333333333355744,-0.08333333333333333,0.024390243902439025,-0.08333333333333333,0.024390243902439025,-0.10772357723577236,-0.20833333333333334,0.625,0.6923076923082304,-0.07692307692119335,0.9999999999965019,0.36065573770552906
recent24h:500ms:whole,11083,1790196024.809,SELL,13.0,84.0,0.7738095238095237,90.99996089935303,55.9999942779541,1.6249994678156172,0.02999999999974534,-0.7049999999999272,-0.02999999999974534,0.7049999999999272,0.0833333333331228,0.22560000000023936,0.09090909090909091,-0.06172839506172839,-0.09090909090909091,0.06172839506172839,-0.1526374859708193,0.08333333333333333,0.5833333333333334,0.7307692307683562,-0.2307692307709798,1.1538461538514009,0.8993710691846636
recent24h:500ms:whole,62386,1790240145.9169998,SELL,14.0,59.0,1.1864406779661016,90.00015258789062,92.00000762939453,0.9782624470037007,0.20499999999992724,-0.23999999999978172,-0.20499999999992724,0.23999999999978172,0.5774647887358584,0.12631578947371444,0.23076923076923078,-0.06896551724137931,-0.23076923076923078,0.06896551724137931,-0.29973474801061006,0.07692307692307693,0.7692307692307693,0.8055555555561872,-0.2500000000006316,0.5000000000012632,-0.020408163264498125
recent24h:500ms:whole,62392,1790240149.922,SELL,10.0,64.0,0.78125,102.99968719482422,56.999921798706055,1.8070145351877025,0.2849999999998545,0.21999999999934516,-0.2849999999998545,-0.21999999999934516,1.0,0.10328638497599259,1.0,0.0967741935483871,-1.0,-0.0967741935483871,-0.9032258064516129,-0.3333333333333333,0.6666666666666666,0.6933333333339154,-0.18666666666589057,0.6133333333345945,-1.0
recent24h:500ms:whole,62394,1790240150.9299998,SELL,14.0,59.0,1.1864406779661016,102.99968719482422,95.00002861022949,1.0842069071096399,0.009999999999308784,0.37999999999919964,-0.009999999999308784,-0.37999999999919964,0.021739130433450174,0.1835748792266923,0.07692307692307693,0.15789473684210525,-0.07692307692307693,-0.15789473684210525,0.08097165991902833,0.0,0.6923076923076923,0.8055555555561872,-0.2777777777765146,0.5555555555580819,-0.5735294117636045
