trade_id,interval,segment_id,engine,side,side_sign,entry_ts,exit_ts,hold_sec,entry_oz,pnl_inr,mfe_usd,mae_usd,exit_reason,spread_rel,range60_rel,m60_rel,m300_rel,imb10_rel,qacc_rel,trend_eff,spread_range_ratio,directional_m60_rel,directional_m300_rel,raw_spread_rel,raw_range60_rel,raw_m60_rel,raw_m300_rel,raw_activity_rel,raw_er60,raw_imb10,raw_spread,raw_range60,raw_vol_regime,raw_spread_regime,raw_efficiency_regime,raw_activity_regime,raw_regime_key,window,activity_rel,er60,spread_to_range,dir_m10_rel,dir_m30_rel,dir_m60_rel,dir_m300_rel,dir_eff60,flow_align10,flow_align60,accel_10_60,accel_30_300,short_long_balance,pullback60,pullback300,market_heat,execution_heat,session_age_sec
500ms-s0-t0,500ms,0,BURST,BUY,1,1789573152.468,1789573195.315,42.84700012207031,0.039184093139022,3.000000000000682,1.440000000000509,-0.3000000000001819,momentum_zero_cross,0.875,2.3526011560685527,2.387283236995411,0.8826666666670159,3.1777777777777776,1.24148350345039,0.2055749128919608,0.069392812887176,2.387283236995411,0.8826666666670159,0.875,2.3526011560685527,2.5415384615405108,,1.4634146341463414,0.1192607565695495,0.2888888888888888,0.2799999999997453,4.069999999999709,high,normal,mixed,normal,high|normal|mixed|normal,historical7d,1.4634146341463414,0.11926075656954953,0.06879606879601115,3.100775193800723,5.287553648072838,2.5415384615405108,,0.11926075656954953,0.28888888888888886,0.05668934240362812,0.5592367322602123,,,0.034398034397893844,0.13721185510427225,3.442830960100321,1.2804878048780488,2573.3639998435974
500ms-s0-t1,500ms,0,PRIMARY,BUY,1,1789573826.844,1789573965.96,139.1159999370575,0.0394191976978562,-15.504974999998788,0.0,-4.109999999999673,emergency_stop,0.9666666666674246,1.187861271676144,1.8806818181822056,2.0919220055705,3.0,0.5710507406087907,0.2293832293830055,0.1414634146341788,1.8806818181822056,2.0919220055705,0.9666666666674246,1.187861271676144,2.0623052959504347,2.2485029940113987,0.4958677685950413,0.1356001638672133,0.2666666666666666,0.2899999999999636,2.055000000000291,normal,normal,mixed,slow,normal|normal|mixed|slow,historical7d,0.49586776859504134,0.13560016386721335,0.14111922141115452,1.4285714285677162,2.4796380090489096,2.0623052959504347,2.2485029940113987,0.13560016386721335,0.26666666666666666,0.09836065573770492,-0.6337338673827184,0.23113501503751088,-0.20129942617260377,0.0,0.0,0.5890221181865177,0.4793388429755825,3247.7400000095367
500ms-s0-t2,500ms,0,PRIMARY,BUY,1,1789574424.972,1789574554.4499998,129.4779999256134,0.0382041009288198,-14.844223511248194,0.1700000000000727,-4.059999999999491,emergency_stop,0.8333333333328281,2.4830633284232544,4.283422459895498,3.0329341317367,0.5580419580419581,0.9043262816847724,0.2050166368057117,0.0595947556615059,4.283422459895498,3.0329341317367,0.8333333333328281,2.4830633284232544,4.869300911850251,3.0329341317367,2.39344262295082,0.0987791342952145,0.0489510489510489,0.25,4.2150000000001455,high,normal,choppy,fast,high|normal|choppy|fast,historical7d,2.3934426229508197,0.09877913429521452,0.05931198102016402,10.048387096775258,1.358649789030611,4.869300911850251,3.0329341317367,0.09877913429521452,0.04895104895104895,-0.03367875647668394,5.179086184925007,-1.6742843427060887,1.752400921109459,0.004744958481716695,0.003773584905742617,5.943069605734347,1.9945355191244738,3845.867999792099
500ms-s0-t3,500ms,0,PRIMARY,BUY,1,1789575064.35,1789575964.473,900.1229999065399,0.0370407860555374,10.705540653721815,9.399999999999636,-1.4200000000000728,max_hold,1.1428571428559053,1.33658536585373,1.9696202531648204,3.519402985074505,1.5410958904109588,0.8127745860087868,0.1851499286056753,0.104283054003614,1.9696202531648204,3.519402985074505,0.8888888888879265,1.33658536585373,1.8568019093082408,3.4880239520960923,0.9659863945578232,0.0918102430965974,0.0985915492957746,0.2799999999997453,2.7399999999997817,normal,normal,choppy,normal,normal|normal|choppy|normal,historical7d,0.9795918367346939,0.09387562071413573,0.1313868613137596,1.301369863009739,3.3822393822385743,1.8949880668252328,3.5359281437122685,0.09387562071413573,0.1267605633802817,0.0326530612244898,-0.5936182038154938,-0.15368876147369415,-0.3736534826445943,0.01459854014630522,0.005856515373479973,1.309308113489368,1.1195335276955807,4485.095999956131
500ms-s0-t4,500ms,0,PRIMARY,SELL,-1,1789576948.978,1789577221.412,272.4340000152588,0.0378797598596955,-8.954176238190282,2.340000000000145,-2.600000000000364,momentum_zero_cross,0.6906474820145014,1.6333973128605497,-2.2758620689652047,-1.8776978417265684,-1.6304347826086956,0.9754291679554594,0.2049689440993609,0.0569395017793179,2.2758620689652047,1.8776978417265684,0.6906474820145014,1.6333973128605497,-2.962593516209569,-2.018041237114746,1.3175355450236967,0.090163934426308,-0.1304347826086956,0.2399999999997817,4.255000000001019,high,tight,choppy,normal,high|tight|choppy|normal,historical7d,1.3175355450236967,0.09016393442630805,0.056404230317208995,1.4218009478681322,2.215938303340936,2.962593516209569,2.018041237114746,0.09016393442630805,0.13043478260869565,0.08374384236453201,-1.5407925683414367,0.19789706622619008,-0.6714477510576233,0.008225616921446674,0.007092198581713209,2.152059018839966,0.9099526066352199,6369.873999834061
500ms-s0-t5,500ms,0,PRIMARY,SELL,-1,1789577693.868,1789578593.993,900.125,0.0371780373082945,31.48844376189823,13.800000000000182,-1.2200000000002549,max_hold,0.6538461538458847,0.4801548886740368,-0.615763546797831,-1.962085308056486,-0.135632183908046,0.9383181217782466,0.0697934115019547,0.1497797356829747,0.615763546797831,1.962085308056486,0.6538461538458847,0.4801548886740368,-0.7862068965514213,-1.9255813953485008,0.7466666666666667,0.0285285285285093,-0.0602409638554216,0.1700000000000727,1.2400000000006912,low,tight,choppy,slow,low|tight|choppy|slow,historical7d,0.7466666666666667,0.02852852852850939,0.13709677419353064,-0.20224719101128188,0.06766917293244394,0.7862068965514213,1.9255813953485008,0.02852852852850939,0.060240963855421686,-0.09090909090909091,-0.9884540875627031,-1.857912222416057,-1.42318315498938,0.23790322580637768,0.0722972972972723,0.35851565020994747,0.4882051282049273,7114.763999938965
500ms-s0-t6,500ms,0,MICRO,BUY,1,1789578618.875,1789578804.99,186.11500000953677,0.0396457295346327,19.97635544919466,6.520000000000437,-0.1199999999998908,trail,1.0,1.3174767321612315,2.070539419086417,1.0,0.5380577427821522,1.0120758450529237,0.2260987766196075,0.0852459016394361,2.070539419086417,1.0,1.0,1.3174767321612315,2.544117647058227,0.9418221734361044,1.1111111111111112,0.0994443379957689,0.04,0.2600000000002183,3.1850000000004,normal,normal,choppy,normal,normal|normal|choppy|normal,historical7d,1.1111111111111112,0.09944433799576896,0.08163265306128277,2.369047619046949,3.830065359480419,2.544117647058227,0.9418221734361044,0.09944433799576896,0.04,-0.015256588072122053,-0.17507002801127802,2.8882431860443147,1.3565865790165184,0.02040816326546347,0.008079552517154597,1.4638630357347018,1.1111111111111112,8039.770999908447
500ms-s0-t7,500ms,0,PRIMARY,SELL,-1,1789579129.2659998,1789579778.929,649.6630001068115,0.0412112402796316,-15.933769042995811,3.130000000000109,-4.039999999999964,emergency_stop,1.0,0.9158316633263012,-1.137931034482951,-1.35338345864627,-0.9209726443768996,1.028251696936342,0.1123723041999086,0.1303370786516477,1.137931034482951,1.35338345864627,1.0,0.9158316633263012,-1.4692874692883608,-1.4055299539170871,0.8071748878923767,0.0709371293001664,-0.0561797752808988,0.2899999999999636,2.2849999999998545,normal,normal,choppy,normal,normal|normal|choppy|normal,historical7d,0.8071748878923767,0.0709371293001664,0.12691466083150202,2.757894736843476,1.4159292035416844,1.4692874692883608,1.4055299539170873,0.0709371293001664,0.056179775280898875,-0.09420289855072464,1.288607267555115,0.01039924962459704,0.6495032585898562,0.02188183807408122,0.007235890014366636,0.739236320173696,0.8071748878923767,8550.161999702454
500ms-s0-t8,500ms,0,PRIMARY,BUY,1,1789580254.921,1789581155.406,900.4850001335144,0.0399625396991588,46.39117251268539,14.489999999999782,-0.6000000000003638,max_hold,0.9310344827602428,1.096069868995746,1.179282868526598,1.939834024896458,2.2317073170731705,0.9352394392844194,0.1594827586208387,0.109979633401403,1.179282868526598,1.939834024896458,0.9310344827602428,1.096069868995746,1.254113345519781,2.0526893523604026,0.7745098039215687,0.1077599748665535,0.1794871794871795,0.2700000000004365,2.5100000000002183,normal,normal,mixed,normal,normal|normal|mixed|normal,historical7d,0.7745098039215687,0.10775997486655357,0.10756972111570243,3.7486338797818877,2.7806451612912992,1.254113345519781,2.0526893523604026,0.10775997486655357,0.1794871794871795,-0.046153846153846156,2.4945205342621066,0.7279558089308966,1.6112381715965014,0.03187250996048995,0.015594541910491394,0.8489168593202346,0.7210953346868547,9675.816999912262
500ms-s0-t9,500ms,0,PRIMARY,BUY,1,1789581649.428,1789581743.4540002,94.02600026130676,0.0435981317482898,-17.148698661633343,1.949999999999818,-4.109999999999673,emergency_stop,1.0,1.137472283813744,0.6809421841542272,2.13036565977736,-0.2484848484848484,0.8129413308833181,0.0452347083926054,0.1153081510934098,0.6809421841542272,2.13036565977736,1.0,1.137472283813744,0.5598591549294207,2.2519019442099086,1.1935483870967742,0.0220008302199902,-0.0181818181818181,0.2899999999999636,2.5649999999996,normal,normal,choppy,normal,normal|normal|choppy|normal,historical7d,1.1935483870967742,0.022000830219990247,0.11306042884990598,0.7820512820513718,1.7730061349698387,0.5598591549294207,2.2519019442099086,0.022000830219990247,-0.01818181818181818,-0.005277044854881266,0.22219212712195102,-0.4788958092400699,-0.1283518410590594,0.2943469785572388,0.08633504859911807,1.3576282097131784,1.1935483870967742,11070.323999881744
