trade_id,interval,segment_id,split,engine,side,side_sign,entry_ts,exit_ts,hold_sec,entry_oz,pnl_inr,mfe_usd,mae_usd,exit_reason,window,range60_rel,spread_rel,activity_rel,er60,spread_to_range,dir_m10_rel,dir_m30_rel,dir_m60_rel,dir_m300_rel,dir_eff60,flow_align10,flow_align60,accel_10_60,accel_30_300,short_long_balance,pullback60,pullback300,market_heat,execution_heat,session_age_sec
500ms-seed-0,500ms,0,seed,PRIMARY,BUY,1,1790192053.48,1790192132.808,79.32800006866455,0.039184093139022026,-5.924999999999727,0.0,-1.5999999999994543,momentum_zero_cross,recent24h,1.5737051792830214,1.0799999999981083,1.2075471698113207,0.17106652587146562,0.13670886075922903,2.396551724129712,1.392857142859579,3.272727272729611,,0.17106652587146562,0.0,0.0029498525073746312,-0.8761755485998992,,,0.045569620253229845,0.0241286863271137,1.9003232353606296,1.304150943393942,2127.0209999084473
500ms-seed-1,500ms,0,seed,PRIMARY,SELL,-1,1790193765.391,1790194095.9689999,330.577999830246,0.03871976163532464,-15.08163937499893,2.2399999999997817,-4.069999999999709,emergency_stop,recent24h,4.3017751479291135,1.0943396226400202,2.135135135135135,0.09892767878736397,0.03988995873451805,7.68992248062444,1.4703196347017249,8.462068965512042,3.81733746130024,0.09892767878736397,0.11538461538461539,-0.07783018867924528,-0.7721464848876023,-2.347017826598515,-1.5595821557430587,0.01925722145821575,0.01783439490461534,9.184871261794594,2.336562978069232,3838.9319999217987
500ms-seed-2,500ms,0,seed,SECONDARY,SELL,-1,1790194322.379,1790194893.464,571.085000038147,0.03753784091140644,-14.657196835124783,2.6700000000000728,-4.079999999999927,emergency_stop,recent24h,2.881398252185563,0.9642857142849023,1.1666666666666667,0.20106460198412496,0.046793760831803574,4.845637583882278,8.000000000003263,5.672354948805792,0.5531914893618668,0.20106460198412496,0.2545454545454545,0.06281833616298811,-0.826717364923514,7.446808510641397,3.3100455728589413,0.0,0.0,3.3616312942164903,1.1249999999990528,4395.919999837875
500ms-seed-3,500ms,0,seed,BURST,SELL,-1,1790195523.451,1790195573.479,50.02800011634827,0.03638918297951742,-0.5223781842655114,0.31999999999970896,-0.9099999999998545,momentum_zero_cross,recent24h,2.1323155216281067,0.9310344827602428,1.0292397660818713,0.23222748815165775,0.0644391408115522,6.30769230769133,3.557603686639344,4.137203166225077,2.7128205128207474,0.23222748815165775,0.45454545454545453,0.22596153846153846,2.170489141466253,0.8447831738185965,1.5076361576424242,0.011933174224385638,0.008431703204077478,2.194663928693256,0.9582577132503083,5596.991999864578
500ms-seed-4,500ms,0,seed,PRIMARY,SELL,-1,1790196024.809,1790196053.956,29.147000074386597,0.03634824514866531,-14.192701839531443,0.5800000000008367,-4.079999999999927,emergency_stop,recent24h,1.325301204819588,0.6551724137918057,1.1506849315068493,0.15287769784185606,0.07676767676750379,2.014705882353256,0.13574660633610044,2.60869565217634,1.8617021276585657,0.15287769784185606,0.04878048780487805,0.04310344827586207,-0.593989769823084,-1.7259555213224653,-1.1599726455727746,0.06666666666664217,0.030669144981405255,1.5250041260937723,0.753897024089201,6098.349999904633
500ms-seed-5,500ms,0,seed,SECONDARY,BUY,1,1790196065.932,1790196279.938,214.00600004196167,0.03523598884711618,28.629622508804385,8.489999999999782,-0.7399999999997817,take_profit,recent24h,3.1512717536817854,0.31034482758674764,2.1517241379310343,0.1316150260487634,0.015293118096880574,4.7299270072961885,8.82352941176093,4.9104859335055595,1.4840425531901822,0.1316150260487634,-0.07792207792207792,-0.04590163934426229,-0.18055892620937097,7.339486858570748,3.579463966180688,0.0,0.06140350877196036,6.780667497577358,0.66777645660045,6139.4729998111725
500ms-seed-6,500ms,0,seed,PRIMARY,BUY,1,1790196504.42,1790197404.635,900.2149999141693,0.03747964043695624,7.209629397094659,4.800000000000182,-1.2100000000000364,max_hold,recent24h,1.363522012578198,0.8620689655173496,1.0263157894736843,0.0943502824857014,0.09225092250922386,-1.2266666666637887,-1.095785440613769,1.549883990719508,1.9556135770230145,0.0943502824857014,-0.1506849315068493,0.0648854961832061,-2.7765506573832965,-3.0513990176367836,-2.91397483751004,0.3726937269373449,0.18247515808495843,1.3994041708039402,0.884754990925701,6577.960999965668
500ms-seed-7,500ms,0,seed,PRIMARY,SELL,-1,1790203082.353,1790203297.458,215.1050000190735,0.03804464601654342,-12.561286185515097,0.10999999999967258,-3.5100000000002183,momentum_zero_cross,recent24h,1.647266313932872,0.9600000000027649,1.0754716981132075,0.23678160919517544,0.1027837259103987,5.765957446792371,4.195652173917492,2.765100671140661,2.1023102310235737,0.23678160919517544,0.39285714285714285,0.174496644295302,3.00085677565171,2.093341942893918,2.547099359272814,0.0,0.0,1.7715882998900698,1.0324528301916527,13155.893999814987
500ms-seed-8,500ms,0,seed,PRIMARY,BUY,1,1790227939.976,1790228840.297,900.3209998607635,0.037060240800865146,14.648048057843594,6.9099999999998545,-0.4600000000000364,max_hold,recent24h,0.933709449930068,0.6304347826085667,1.0,0.08134462406981302,0.17522658610262773,3.2909090909158256,3.453416149067888,2.3745318352105804,1.6208930075824137,0.08134462406981302,-0.04,0.0440251572327044,0.9163772557052452,1.8325231414854743,1.37445019859536,0.0,0.0,0.933709449930068,0.6304347826085667,3896.8250000476837
500ms-seed-9,500ms,0,seed,SECONDARY,SELL,-1,1790230026.458,1790230694.91,668.4520001411438,0.03820818175967198,-14.626412926329214,0.0,-4.0,emergency_stop,recent24h,1.7527472527473749,0.5652173913047777,1.302325581395349,0.17945425361146944,0.08150470219441278,2.575539568344288,4.021857923501743,3.2219020172900694,2.9550870760768464,0.17945425361146944,0.07142857142857142,0.12177121771217712,-0.6463624489457813,1.066770847424897,0.2102041992395578,0.0,0.0,2.2826475849733256,0.736097067745757,5983.306999921799
