segment,raw_fraction,net_pnl_inr,capture_pct_vs_full_ceiling,profit_factor,trades,max_drawdown_inr
0,0-40%,497.25829200446583,6.645528185449788,2.072184372620325,77,136.28592526560578
1,40-50%,52.04324814475629,0.6955235899921991,2.535203857497453,18,36.95772622694824
2,50-60%,1.4975625238501244,0.020013932641730472,1.1588102342838198,5,17.2709553566973
3,60-70%,34.67514249376671,0.4634103452512055,1.4984142885788334,10,57.50276262510192
4,70-80%,102.52049369930128,1.370118591122087,2.943181247473977,10,29.030316423192176
