label,episode_id,window,interval,segment_id,engine,side,onset_entry_ts,onset_excursion_edge_r,onset_pnl_inr,policy_action,policy_entry_ts,policy_wait_sec,policy_predicted_excursion_edge_r,policy_actual_excursion_edge_r,policy_pnl_inr,episode_checkpoints
historical_walkforward,historical7d|1s|1|1|1247,historical7d,1s,1,PRIMARY,SELL,1789742547.9980001,0.6449999999997544,5.84999999999809,TAKE,1789742547.9980001,0.0,0.6317613565666552,0.6449999999997544,5.84999999999809,1
historical_walkforward,historical7d|1s|1|1|1248,historical7d,1s,1,PRIMARY,SELL,1789742618.994,-0.2300000000000182,-2.9624999999998636,TAKE,1789742618.994,0.0,0.5705173957194125,-0.2300000000000182,-2.9624999999998636,1
historical_walkforward,historical7d|1s|1|1|1249,historical7d,1s,1,PRIMARY,SELL,1789742620.7,-0.48500000000012733,-4.875000000000682,TAKE,1789742620.7,0.0,0.6345892065650852,-0.48500000000012733,-4.875000000000682,3
historical_walkforward,historical7d|1s|1|1|1250,historical7d,1s,1,PRIMARY,SELL,1789742627.957,-0.3400000000001455,-3.7875000000008185,TAKE,1789742627.957,0.0,1.028631452874934,-0.3400000000001455,-3.7875000000008185,5
historical_walkforward,historical7d|1s|1|1|1251,historical7d,1s,1,PRIMARY,SELL,1789742642.627,-0.34999999999990905,-3.8624999999990446,TAKE,1789742642.627,0.0,0.9743687591208317,-0.34999999999990905,-3.8624999999990446,1
historical_walkforward,historical7d|1s|1|1|1252,historical7d,1s,1,PRIMARY,SELL,1789742645.4780002,-0.38000000000010914,-4.087500000000546,TAKE,1789742645.4780002,0.0,1.008520016541962,-0.38000000000010914,-4.087500000000546,1
historical_walkforward,historical7d|1s|1|1|1253,historical7d,1s,1,PRIMARY,SELL,1789742647.936,-0.38000000000010914,-4.087500000000546,TAKE,1789742647.936,0.0,1.1036038656053588,-0.38000000000010914,-4.087500000000546,1
historical_walkforward,historical7d|1s|1|1|1254,historical7d,1s,1,PRIMARY,SELL,1789742654.94,-0.36500000000023647,-3.9750000000015007,TAKE,1789742654.94,0.0,1.2985289774008988,-0.36500000000023647,-3.9750000000015007,1
historical_walkforward,historical7d|1s|1|1|1255,historical7d,1s,1,PRIMARY,SELL,1789742657.8049998,-0.4050000000002001,-4.275000000001228,TAKE,1789742657.8049998,0.0,1.2071232994626941,-0.4050000000002001,-4.275000000001228,1
historical_walkforward,historical7d|1s|1|1|1256,historical7d,1s,1,PRIMARY,SELL,1789742661.904,-0.27500000000009095,-3.3000000000004093,TAKE,1789742661.904,0.0,1.3190422116269571,-0.27500000000009095,-3.3000000000004093,1
historical_walkforward,historical7d|1s|1|1|1257,historical7d,1s,1,PRIMARY,SELL,1789742838.3100002,-0.47250000000030923,-6.037500000002183,TAKE,1789742838.3100002,0.0,1.0975752685822415,-0.47250000000030923,-6.037500000002183,1
historical_walkforward,historical7d|1s|1|1|1258,historical7d,1s,1,PRIMARY,SELL,1789743095.9889998,-0.5274999999996908,-4.799999999999045,TAKE,1789743095.9889998,0.0,1.1733573206457195,-0.5274999999996908,-4.799999999999045,2
historical_walkforward,historical7d|1s|1|1|1259,historical7d,1s,1,PRIMARY,SELL,1789743101.992,-0.6475000000000364,-5.700000000001637,TAKE,1789743101.992,0.0,1.1779069858199709,-0.6475000000000364,-5.700000000001637,1
historical_walkforward,historical7d|1s|1|1|1260,historical7d,1s,1,PRIMARY,SELL,1789743111.956,-0.4774999999999636,-4.425000000001091,TAKE,1789743111.956,0.0,1.1577092654556442,-0.4774999999999636,-4.425000000001091,1
historical_walkforward,historical7d|1s|1|1|1261,historical7d,1s,1,PRIMARY,SELL,1789743117.811,-0.48749999999972715,-4.499999999999318,TAKE,1789743117.811,0.0,1.1359783701264945,-0.48749999999972715,-4.499999999999318,2
historical_walkforward,historical7d|1s|1|1|1262,historical7d,1s,1,PRIMARY,SELL,1789743125.579,-0.4724999999998545,-4.387500000000273,TAKE,1789743125.579,0.0,1.2157401431698496,-0.4724999999998545,-4.387500000000273,2
historical_walkforward,historical7d|1s|1|1|1263,historical7d,1s,1,PRIMARY,SELL,1789743246.967,-0.43000000000006366,-6.112500000000409,TAKE,1789743246.967,0.0,0.856699848376736,-0.43000000000006366,-6.112500000000409,1
historical_walkforward,historical7d|1s|1|1|1264,historical7d,1s,1,PRIMARY,SELL,1789743250.965,-0.30250000000023647,-5.100000000002183,TAKE,1789743250.965,0.0,0.7489951574016969,-0.30250000000023647,-5.100000000002183,1
historical_walkforward,historical7d|1s|1|1|1265,historical7d,1s,1,PRIMARY,SELL,1789743254.8209999,-0.4074999999997999,-5.887499999998909,TAKE,1789743254.8209999,0.0,0.7500719311720891,-0.4074999999997999,-5.887499999998909,1
historical_walkforward,historical7d|1s|1|1|1266,historical7d,1s,1,PRIMARY,SELL,1789743257.978,-0.4674999999999727,-6.674999999999046,TAKE,1789743257.978,0.0,0.7500719311720891,-0.4674999999999727,-6.674999999999046,1
