label,interval,engine,checkpoints,pearson,spearman,sign_accuracy,actual_mean_excursion_edge_r,predicted_positive_fraction
historical_walkforward,1s,BURST,30,-0.24525646777839727,-0.42540883565054466,0.43333333333333335,0.19025000000002212,0.7333333333333333
historical_walkforward,1s,MICRO,92,0.09480325456484613,0.04468881970876954,0.6195652173913043,0.20516304347827075,0.4782608695652174
historical_walkforward,1s,PRIMARY,705,0.11950689400333066,0.0395113372098478,0.43829787234042555,0.49025531914892956,0.6865248226950355
historical_walkforward,1s,SECONDARY,40,0.08203064275362602,0.08705440900562854,0.55,0.16943750000004912,0.7
historical_walkforward,500ms,BURST,34,-0.24858429424276807,-0.3847505550231093,0.35294117647058826,0.15933823529413155,0.7941176470588235
historical_walkforward,500ms,MICRO,163,0.14612636840738613,0.08661876065638818,0.6134969325153374,0.20932515337426874,0.5398773006134969
historical_walkforward,500ms,PRIMARY,1063,0.11510130233075727,0.01655968314096776,0.44402634054562556,0.532323612417702,0.6876763875823142
historical_walkforward,500ms,SECONDARY,22,0.07227005897708878,0.1191753789403918,0.5454545454545454,0.11102272727273223,0.6363636363636364
recent_after_first80,1s,BURST,9,-0.6070029263800055,-0.6333333333333333,0.2222222222222222,-0.11111111111108585,0.4444444444444444
recent_after_first80,1s,MICRO,23,-0.10104374745686454,0.02964426877470356,0.6521739130434783,0.3684782608695909,0.782608695652174
recent_after_first80,1s,PRIMARY,426,0.017502527346920874,0.0659703673285505,0.38967136150234744,-0.20953638497652327,0.9741784037558685
recent_after_first80,1s,SECONDARY,17,0.18467055858541856,0.09558823529411767,0.5882352941176471,0.3792647058822989,0.8235294117647058
recent_after_first80,500ms,BURST,10,-0.6448194042143948,-0.6,0.3,-0.17824999999997998,0.4
recent_after_first80,500ms,MICRO,35,-0.07826843291190418,-0.00644347954213297,0.5714285714285714,0.296214285714307,0.8
recent_after_first80,500ms,PRIMARY,742,0.04107859553082852,0.13118301952609818,0.35983827493261455,-0.2634737196765452,0.977088948787062
recent_after_first80,500ms,SECONDARY,6,0.21333683193996156,0.14285714285714288,0.3333333333333333,-0.36583333333332274,0.8333333333333334
