label,interval,engine,episodes,retention,onset_mean_excursion_edge_r,selected_mean_excursion_edge_r,onset_counterfactual_pnl_inr,policy_counterfactual_pnl_inr,pnl_delta_audit_inr,selected_positive_excursion_fraction,median_wait_sec_taken
historical_walkforward,1s,BURST,24,0.75,0.18885416666668675,0.19555555555560508,60.67500000001132,50.92500000000996,-9.750000000001364,0.5555555555555556,0.0
historical_walkforward,1s,MICRO,74,0.581081081081081,0.19547297297298108,0.21918604651162157,128.50312500001507,84.19687500000379,-44.30625000001129,0.46511627906976744,0.0
historical_walkforward,1s,PRIMARY,524,0.700381679389313,0.563563931297708,0.5816825613079012,-187.8374999999869,-389.51249999998595,-201.67499999999905,0.40054495912806537,0.0
historical_walkforward,1s,SECONDARY,40,0.7,0.16943750000004912,0.20741071428578348,-77.13749999998527,-43.57499999998595,33.56249999999932,0.5357142857142857,0.0
historical_walkforward,500ms,BURST,31,0.8064516129032258,0.15370967741935807,0.11020000000000436,64.42499999999768,38.999999999995225,-25.425000000002456,0.44,0.0
historical_walkforward,500ms,MICRO,146,0.589041095890411,0.18857876712332056,0.3238662790697908,307.74375000004113,314.03437500001303,6.290624999971897,0.5,0.0
historical_walkforward,500ms,PRIMARY,930,0.6967741935483871,0.600451612903245,0.6827044753086643,-83.32499999997071,275.73750000004657,359.06250000001705,0.4058641975308642,0.0
historical_walkforward,500ms,SECONDARY,22,0.6363636363636364,0.11102272727273223,0.15250000000003183,-14.549999999996999,10.01250000000027,24.56249999999727,0.5,0.0
recent_after_first80,1s,BURST,8,0.5,-0.11718749999997158,-0.26124999999996135,-23.88749999999959,-18.637499999997544,5.250000000002046,0.0,0.0
recent_after_first80,1s,MICRO,20,0.8,0.26862500000000866,0.3514062500000108,35.36249999999086,47.28749999999195,11.925000000001091,0.625,0.0
recent_after_first80,1s,PRIMARY,336,0.9851190476190477,-0.25950892857143043,-0.25037009063444365,-2052.3000000000297,-1990.950000000031,61.34999999999877,0.3474320241691843,0.0
recent_after_first80,1s,SECONDARY,17,0.8235294117647058,0.3792647058822989,0.5416071428570929,112.34999999999332,137.6249999999959,25.275000000002592,0.5714285714285714,0.0
recent_after_first80,500ms,BURST,10,0.4,-0.17824999999997998,-0.40687499999989996,-32.475000000009686,-23.6625000000015,8.812500000008185,0.0,0.0
recent_after_first80,500ms,MICRO,33,0.8181818181818182,0.2697727272727455,0.2923148148148458,80.84999999998445,61.57499999999004,-19.274999999994407,0.5925925925925926,0.0
recent_after_first80,500ms,PRIMARY,666,0.9834834834834835,-0.28004879879879546,-0.27040839694656255,-4191.26249999996,-4047.412499999954,143.8500000000056,0.33587786259541985,0.0
recent_after_first80,500ms,SECONDARY,6,0.8333333333333334,-0.36583333333332274,-0.23899999999998728,-45.48750000000041,-30.48750000000041,15.0,0.2,0.0
