label,interval,entry_ts,engines,legacy_engine,legacy_excursion_edge_r,legacy_pnl_inr,policy_engine,policy_predicted_excursion_edge_r,policy_actual_excursion_edge_r,policy_pnl_inr
historical_walkforward,1s,1789744864.826,PRIMARY|MICRO,PRIMARY,2.059999999999718,-17.737500000001774,PRIMARY,0.5574782943424748,2.059999999999718,-17.737500000001774
historical_walkforward,1s,1789744905.98,PRIMARY|MICRO,PRIMARY,1.7650000000001,-15.22499999999809,PRIMARY,0.6231065836761971,1.7650000000001,-15.22499999999809
historical_walkforward,1s,1789744907.983,PRIMARY|MICRO,PRIMARY,1.7449999999998909,-15.149999999999864,PRIMARY,0.5253462365849757,1.7449999999998909,-15.149999999999864
historical_walkforward,1s,1789745009.92,PRIMARY|BURST,PRIMARY,1.0674999999998818,-15.037500000000819,PRIMARY,0.25614450651394677,1.0674999999998818,-15.037500000000819
historical_walkforward,1s,1789745011.976,PRIMARY|BURST,PRIMARY,0.8074999999996635,-16.837500000002592,BURST,0.5253023247589697,0.01999999999998181,1.274999999997135
historical_walkforward,1s,1789745092.997,PRIMARY|MICRO,PRIMARY,-0.1150000000000091,-15.412499999998772,PRIMARY,0.28887331692851875,-0.1150000000000091,-15.412499999998772
historical_walkforward,1s,1789745095.9529998,PRIMARY|MICRO,PRIMARY,-0.2650000000003274,-15.262500000002317,PRIMARY,0.17798821241414123,-0.2650000000003274,-15.262500000002317
historical_walkforward,1s,1789745097.9580002,PRIMARY|MICRO,PRIMARY,-0.29500000000007276,-15.487500000000411,PRIMARY,0.17798821241414123,-0.29500000000007276,-15.487500000000411
historical_walkforward,1s,1789745099.966,PRIMARY|MICRO,PRIMARY,-0.3400000000001455,-15.825000000000953,PRIMARY,0.1867154514159378,-0.3400000000001455,-15.825000000000953
historical_walkforward,1s,1789745101.967,PRIMARY|MICRO,PRIMARY,-0.36000000000012733,-15.975000000000819,PRIMARY,0.1867154514159378,-0.36000000000012733,-15.975000000000819
historical_walkforward,1s,1789745103.968,PRIMARY|MICRO,PRIMARY,-0.1850000000001728,-15.525000000001228,PRIMARY,0.15937689526078944,-0.1850000000001728,-15.525000000001228
historical_walkforward,1s,1789745230.8769999,SECONDARY|BURST,SECONDARY,-0.775000000000091,-15.299999999999727,SECONDARY,0.6223061936922475,-0.775000000000091,-15.299999999999727
historical_walkforward,1s,1789747264.982,PRIMARY|SECONDARY,PRIMARY,-1.0074999999999363,-15.112499999999045,SECONDARY,0.9646493488871106,-1.0074999999999363,-15.112499999999045
historical_walkforward,1s,1789749423.992,PRIMARY|SECONDARY,PRIMARY,-1.0924999999999727,-16.38749999999959,SECONDARY,1.390773041026203,-1.0924999999999727,-16.38749999999959
historical_walkforward,1s,1789749772.999,PRIMARY|SECONDARY,PRIMARY,-1.0625,-15.9375,PRIMARY,1.2957972049311874,-1.0625,-15.9375
historical_walkforward,1s,1789753891.9550002,PRIMARY|MICRO,PRIMARY,-0.9549999999999272,-15.749999999999318,MICRO,0.4938310221994095,-0.3849999999999909,-4.275000000001228
historical_walkforward,1s,1789753922.934,PRIMARY|MICRO,PRIMARY,-1.0324999999998,-17.77499999999918,HOLD,0.0,0.0,0.0
historical_walkforward,1s,1789759757.9750001,PRIMARY|SECONDARY|MICRO,PRIMARY,2.262499999999818,11.92499999999768,SECONDARY,1.0160050570668282,2.0774999999998727,31.649999999998496
historical_walkforward,1s,1789759765.977,PRIMARY|SECONDARY,PRIMARY,1.7074999999999818,7.424999999998362,SECONDARY,1.06170702116675,1.7074999999999818,11.812499999998636
historical_walkforward,1s,1789760021.8140001,PRIMARY|MICRO,PRIMARY,-0.6200000000001182,-15.037500000000819,HOLD,0.0,0.0,0.0
historical_walkforward,1s,1789760024.81,PRIMARY|MICRO,PRIMARY,-0.8524999999999636,-15.0,HOLD,0.0,0.0,0.0
historical_walkforward,1s,1790006334.971,MICRO|PRIMARY,PRIMARY,-1.1124999999999545,-16.687499999999318,PRIMARY,0.9827091372303158,-1.1124999999999545,-16.687499999999318
historical_walkforward,1s,1790006336.977,MICRO|PRIMARY,PRIMARY,-1.115000000000009,-16.725000000000136,PRIMARY,0.7676956978551361,-1.115000000000009,-16.725000000000136
historical_walkforward,1s,1790006952.976,SECONDARY|PRIMARY,PRIMARY,-0.45250000000010004,4.124999999997954,SECONDARY,0.7807146721863392,0.41249999999990905,0.5624999999986358
historical_walkforward,1s,1790008913.96,SECONDARY|PRIMARY,PRIMARY,-0.6274999999998272,-15.299999999999727,PRIMARY,0.5334585203684045,-0.6274999999998272,-15.299999999999727
historical_walkforward,1s,1790010044.9539998,SECONDARY|PRIMARY,PRIMARY,4.662500000000136,17.8125,PRIMARY,0.276599838930686,4.662500000000136,17.8125
historical_walkforward,1s,1790010220.996,SECONDARY|PRIMARY,PRIMARY,0.7374999999999545,-15.487500000000411,PRIMARY,0.9988322385082296,0.7374999999999545,-15.487500000000411
historical_walkforward,1s,1790010323.947,MICRO|PRIMARY,PRIMARY,-0.397499999999809,-15.562499999998636,PRIMARY,0.43836660082181395,-0.397499999999809,-15.562499999998636
historical_walkforward,1s,1790010341.962,MICRO|PRIMARY,PRIMARY,-0.8725000000001728,-15.525000000001228,PRIMARY,0.4437645816346401,-0.8725000000001728,-15.525000000001228
historical_walkforward,1s,1790076896.962,SECONDARY|BURST,SECONDARY,1.9650000000001455,32.40000000000123,BURST,0.20727017786453497,1.5975000000000819,26.887500000000273
historical_walkforward,1s,1790081889.859,MICRO|BURST,MICRO,1.4850000000001273,20.315625000002626,BURST,0.1110286857088533,1.4850000000001273,15.562500000002046
historical_walkforward,500ms,1789744890.3569999,PRIMARY|MICRO,PRIMARY,1.802500000000009,-15.0,PRIMARY,0.40031086347037065,1.802500000000009,-15.0
historical_walkforward,500ms,1789744905.481,PRIMARY|MICRO,PRIMARY,1.7775000000001455,-15.0,PRIMARY,0.6231065836761971,1.7775000000001455,-15.0
historical_walkforward,500ms,1789744907.983,PRIMARY|MICRO,PRIMARY,1.7474999999999454,-15.2250000000015,PRIMARY,0.5253462365849757,1.7474999999999454,-15.2250000000015
historical_walkforward,500ms,1789745006.2140002,PRIMARY|BURST,PRIMARY,1.102500000000191,-15.899999999999181,PRIMARY,0.45838761298391284,1.102500000000191,-15.899999999999181
historical_walkforward,500ms,1789745007.815,PRIMARY|BURST,PRIMARY,1.0650000000000546,-15.599999999999454,PRIMARY,0.25614450651394677,1.0650000000000546,-15.599999999999454
historical_walkforward,500ms,1789745009.92,PRIMARY|BURST,PRIMARY,1.0750000000000455,-15.037500000000819,PRIMARY,0.25614450651394677,1.0750000000000455,-15.037500000000819
historical_walkforward,500ms,1789745011.976,PRIMARY|BURST,PRIMARY,0.8149999999998272,-16.837500000002592,BURST,0.5253023247589697,-0.012500000000045475,-0.41250000000218273
historical_walkforward,500ms,1789745073.965,PRIMARY|MICRO,PRIMARY,-0.015000000000100044,-15.67500000000109,MICRO,0.4073348665278246,0.4149999999999636,7.199999999996862
historical_walkforward,500ms,1789745074.916,PRIMARY|MICRO,PRIMARY,-0.1274999999998272,-15.149999999999864,MICRO,0.4870271030442799,-0.27999999999974534,-0.14999999999986358
historical_walkforward,500ms,1789745077.4689999,PRIMARY|MICRO,PRIMARY,-0.07999999999969987,-16.16249999999809,MICRO,0.04437821720626141,0.3500000000003638,-2.174999999999727
historical_walkforward,500ms,1789745079.471,PRIMARY|MICRO,PRIMARY,-0.08249999999975444,-15.22499999999809,MICRO,0.32743652376298366,-0.1799999999998363,-2.2499999999979536
historical_walkforward,500ms,1789745081.982,PRIMARY|MICRO,PRIMARY,0.05249999999978172,-15.450000000003,HOLD,0.0,0.0,0.0
historical_walkforward,500ms,1789745092.497,PRIMARY|MICRO,PRIMARY,-0.08749999999986358,-15.0,HOLD,0.0,0.0,0.0
historical_walkforward,500ms,1789745093.9980001,PRIMARY|MICRO,PRIMARY,-0.10749999999984539,-15.0,HOLD,0.0,0.0,0.0
